,ID,Comment,Date,label
10,Uaena I,유느님의 20대 아이돌 뺨치는 댄스실력과 핏을 볼수 있는 댄싱킹 무대를 볼수있었던데에는 광희의 공이 너무나도컸다,2021. 1. 23.,악플
11,안민선,아니 광희가 우체국 놔두는거 잘렸네...놔두고 스스로 뿌듯해하는거 나름 재미였는데ㅠ,2021. 1. 23.,악플
12,ᄋᄋ,노홍철이 있었으면 우체통 한강 뛰어들었을 때 나중에 반드시 재회한다고 했던 굴뚝 같이 생긴데 놓지 않았을까 ㅋㅋㅋ,2021. 1. 23.,부정
13,hyeok S,내가 받는 행운의 편지는 무한도전이 다시 방송된다는 편지 이길...,2021. 1. 23.,긍정
14,Uaena I,하하가 노찌롱 몫 다하려고 노력했었네ㅋㅋㅋㅋㅋ ㄹㅇ사기꾼,2021. 1. 23.,악플
15,블루,유느 대단하면서도 멋지시다ㅋㅋ,2021. 1. 23.,긍정
16,오이오이,와.. 이거 보는데 발에 땀이 엄청 남ㅋㅋㅋㅋㅋ 보기만해도 무섭다..ㅠㅠ,2021. 1. 23.,악플
17,1234,"광희도 신선한 아이디어였고, 유재석이 상상 이상으로 잘해줘서 재밌게 봤는데 본방 보던 사람들은 알거임. 행운의 편지랑 댄싱킹 때 광희 욕 엄청 들어서 안타까웠음. 가뜩이나 바쁜 유재석 더 바쁘게 한다고... 덕분에 유재석의 무궁무진한 가능성을 볼 수 있었는데 광희는 욕만 먹어서 마음 아팠음ㅜㅜㅜㅜㅜㅜ",2021. 1. 23.,악플
18,S Choi,12:33 난 정중하 겁먹을 때 저 톤이랑 호들갑이 너무 웃김 ㅋㅋㅋㅋㅋㅋ진짜 ㅋㅋㅋ왜케 웃기냐,2021. 1. 23.,악플
19,Just helen,이때 진짜 정준하 대상 탔으면 했는데 .....,2021. 1. 23.,악플
20,Doto Jambo,15:04 자꾸 말놓으시는 쓰앵님 ㅋㅋㅋㅋ 준하 귀여워하시는건가 ㅋㅋ,2021. 1. 23.,긍정
21,Doto Jambo,13:49 이때 아니면 언제보려구~️️ㅋㅋㅋㅋ완전 연인모드,2021. 1. 23.,악플
22,박순호,여기서는 짤렸지만 광희는 우편박물관에 숨긴 이유가분명 내가 알기로는 우체통이 다 빨개니까 못 알아볼거라 해서 간 걸로 알고 있는데...,2021. 1. 23.,악플
23,이동선,14:48 인사성이 좋으시네요,2021. 1. 23.,긍정
24,차우진,어릴 때 봤을땐 몰랐는데 멤버들 옷 다 스파이더에다가 암벽 등반장 나오는거 보니까 스파이더 협찬이었네ㅋㅋㅌㅌㅋㅋㅋㅋ,2021. 1. 23.,악플
25,예슬,13:55 귀엽긴ㅋㅌㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋ,2021. 1. 23.,악플
26,Dong Dong,진짜 고소공포증 심한 사람으로서고층건물에서 일하시는 분들 존경 ㄷㄷ...딱 엘베에서 내리는 순간 발 디디는 순간 뭔가 건물이 흔들~흔들~하는게느껴지면서 소름이 쫘악하고 어후.. 생각하기 싫다 ㅋㅋ,2021. 1. 23.,악플
27,플라잉펭귄,이떄 노홍철 있었으면 정준하가 연말에 대상받을 수 있었을텐데,2021. 1. 23.,악플
28,이글이글,이젠 무도없으면 혼자 밥을 못먹음..ㄷㄷ,2021. 1. 23.,부정
29,두리두밥 :DUBAB,아니 정준하는ㅠ 너무 쉬운데 둔거 아니냐궄ㅋㅋ 자기는 고생다하면서ㅋㅋㅋㅋㅋㅋ,2021. 1. 23.,악플
30,무야호,14:04 어우 대단하셔 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 우오오우 으아아 ㅋㅋㅋㅋㅋㅋ,2021. 1. 23.,긍정
31,박태영,ㅋㅋㅋㅋ사람마음이 어떻게 다 똑같지,2021. 1. 23.,악플
32,Jungrylls,롯데타워 직원분 홍보 잘하네 ㅋㅋㅋ,2021. 1. 23.,악플
33,파인애플은 싱링해야지,높은곳 처음에는 무서워도 적응 되더라구요..5미터 위도 무서운데 39미터 위에서50미터 위에서 올라갈수록 다시무서워지고 또 적응하고 100미터위는 모르겠디만,2021. 1. 23.,악플
34,백찬우,박명수도 나중에 자기가 롯데타워 창문닦이 할 줄은 생각도 못했을듯..,2021. 1. 23.,악플
35,손주혁,이 편도 레전드인데 하하땜에 욕먹은 편.2:38 롯데월드타워 뭔뎈ㅋㅋㅋㅋㅋㅋ,2021. 1. 23.,악플
36,Soo,잠실 롯데 타워 완공 전이었다는 거.. 저 특집 어제 한 거 같은데ㅜㅜㅜ 왜 벌써 2021이죠,2021. 1. 23.,악플
37,꼬소하이,시간이 많이 지나긴했구나... 롯데타워 짓고있네 ㅋㅋㅋㅋ,2021. 1. 23.,악플
38,정희순,13:14 마인드 컨트롤 1분1초가 달콤해(?) 이남자 도대체머야(?),2021. 1. 23.,악플
39,손용준,이때는 롯데타워가 미완공이었네ㅋㅋㅋ,2021. 1. 23.,악플
40,sooneok hong,무한도전이 토토가를 통해 에쵸티와 젝키를 불러냈듯이머지 않은 미래에 한 예능 프로그램에서 무한도전 멤버들 소환해서 무한상사 한 편 찍어주길 바란다.,2021. 1. 23.,악플
41,노혁래,길이 박명수한테 형은 가수가 아니잖아요 하고 박명수가 버럭한게 무슨특집인가요??,2021. 1. 23.,악플
42,범베,기다렸습니다ㅎㅎ,2021. 1. 23.,긍정
43,냐하하항,댄싱킹이나  쇼미더머니같은 도전이무한도전 컨셉이랑잘맞았던거같다,2021. 1. 23.,악플
44,ebnpngj,정준하 술취한 거 같애 ㅋㅋㅋㅋㅋㅋㅋ,2021. 1. 23.,악플
45,범부,해수가 고생했네..ㅋㅋ,2021. 1. 23.,부정
46,청산에백구,준하 죠아죽네 쥬거 ㅋㅋ,2021. 1. 23.,악플
47,Mikami ReN,롯데타워가 쉬운편아님?암벽등반이 가장 어려울거같은데체력 기술 공포감 3박자를 다 극복해야됨,2021. 1. 23.,악플
48,ROSE -,빈봉투로 바꾸는건 진짜... 내가 당했다 생각하면 피꺼솟이다 어우...,2021. 1. 23.,악플
49,책책책,명수님이 정준하님보다 형 아니야 ?,2021. 1. 23.,긍정
50,킴다이너,노찌롱 있었으면 허가 안났던 굴뚝행,2021. 1. 23.,악플
51,김윤수,홍탁집 사장님 왜 여기 계세요?ㅋㅋㅋ,2021. 1. 23.,악플
52,호잇호잇,님들 혹시 노홍철 아쿠아리움인가 거기 알바간특집이 극한알바특집인가요??왜 안나오지 재밌는데 아시는분?,2021. 1. 23.,악플
53,멍텅구리,1분전은 못참지,2021. 1. 23.,악플
54,굿데이,"이제와서 보면 대본이 있었던 것 같음즉흥적으로 가는데 어떻게 가는 곳마다 다 협조가 다 되냐",2021. 1. 23.,악플
55,하시오안녕,롯데타워 저때 공사중이엇구나,2021. 1. 23.,악플
56,떠휘,43초전은 못참지~(해보고싶었음),2021. 1. 23.,부정
57,HS Y,광희는 편지 하나도 못받았나?ㅜ,2021. 1. 23.,부정
58,zon Snow,극한 알바 이런거 필요없음 ㄹㅇ 본인 방어하기 좋은곳으로 어디든 가라하면 중국 절벽에 우체통 놔둥꺼같음,2021. 1. 23.,악플
59,강선민,이런건 진짜 노홍철 독무대인데..깝네,2021. 1. 23.,악플
60,연탄,6:55 유느현타..,2021. 1. 23.,악플
61,악 으,정준하 반칙만 쓰는거 봐라 ㅋㅋ,2021. 1. 23.,악플
62,JB K,,2021. 1. 23.,부정
63,A A,12:35 팔짱 꼬옥....,2021. 1. 23.,악플
64,콩나물,"광희를 주인공으로 방송찍으면 망할것을 아니깐 그 누구도 광희우체통을 찾지않았어,,",2021. 1. 23.,악플
65,ᄋᄋ,왜 댓글이 다 몇시간 전이지 생각했는데 영상이 4시간전에 올라왔었네,2021. 1. 23.,악플
66,가마우지,10:24 안경벗은 이경규..?,2021. 1. 23.,긍정
67,Andy Shim,15:58,2021. 1. 23.,부정
68,돌몽,15:59,2021. 1. 23.,부정
69,고장난 중립기어,의문인게 정말 즉흥으로 롯데타워랑 아쿠아리움에 갔을까 미리 장소 섭외하지 않고? 물고기들 있는 수족관에 검증도 안된 우체통을 방송국이라고 사전에 얘기도 없이 받아주는건가 롯데타워 저 고층까지는 아직 완공되지 않은거 같은데 즉흥적으로 받아준건가 안전요원도 미리 섭외없이 일하고 있던 요원 데려다가 한걸까 대본은 없다 처도 어느정도 콘티는 있는거 같은데,2021. 1. 23.,악플
70,Sam Park,14:07 자막만 보면 방송불가 ㅋ,2021. 1. 23.,악플
71,최진설,2:54 자~ 한번 해 보자고!,2021. 1. 23.,부정
72,양건호,롯데타워 PPL이겠지?,2021. 1. 23.,부정
73,전용현,어우덜덜 아우나는,2021. 1. 23.,악플
74,아들승우,정준하가 ㄹㅇ 노답인게 여기서도 보이네 다른멤버들은 우체통설치=편지전달 과정이 같은거 보일거임 근데 정준하는 걍 아는사람한테 막아줘~ 이러고 다른멤버들 오면 엉덩이 걷어차는거 봐라 이럴거면 본인도 ㅈㄴ쌔게 한대 쳐맞고 맡기던가 ㄹㅇ노답이네,2021. 1. 23.,악플
75,박산,14:06 ??,2021. 1. 23.,부정
76,계말년,이때 무도 멤버들이 광희를 챙겼어야지 아무도 광희꺼 안찾아가고 존나게 텃세부림,2021. 1. 23.,악플
77,박찬웅,정준하 너무시끄러...,2021. 1. 23.,악플
78,카우트리송,여러분 알고 계신가요?광희는 똑같은 우체통을 준비해서 진짜 우체통을 숨기는 기가 막힌 전략을 준비했지만아무도 광희에게 편지를 쓰지 않아서 전략 자체가 필요 없었다는 슬픈 이야기를ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2021. 1. 25.,악플
79,용가리,정준하 엄청 짠했는데 너무 웃김 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2021. 1. 25.,긍정
80,malinois11,하하가 예능을 잘하긴 한다,2021. 1. 25.,악플
81,물먹어,하하가 편지 빼돌리는게 레전드였음 ㅋㅋ 예능신 하하,2021. 1. 25.,긍정
82,박준민,하하형이 욕먹을 이유 1도 없는데 솔직히 홍철이형 있었으면 이미 편지 다 바꼈지 ㅋㅋㅋㅋ 하하형이 홍철이형 역할 톡톡히 해서 더 재밌었음,2021. 1. 25.,악플
83,Uaena I,하하 덕분에 레전드편 다량 탄생과 동시에 중앙이형 주가 개떡상함ㅋㅋㅋㅋ,2021. 1. 25.,긍정
84,김현근 | ERICA 광고홍보학과 ­,한때 정말 좋아했던 무한도전 프로그램. 다시봐도 역시나 너무 재미있네요. 저 멤버들이 다시 모이는 날이 어서 빨리 왔으면 좋겠습니다.정말 무한도전은 저한테 좋은 추억으로 남아있습니다. 당시 기획 하셨던 김태호 PD님을 비롯해서 모든 PD님 정말 대단하다고 느껴집니다.그리고 유재석님을 비롯한 많은 출연진들 너무 재미있게 잘봤습니다.앞으로도 멤버들 항상 응원할게요. 화이팅입니다. 역대 최고 예능 무도,2021. 1. 25.,긍정
85,ray yun,8:24제작진 웃는거 개찰지네 ㅋㅋㅋㅋㅋㅋㅋ,2021. 1. 25.,악플
86,후하하맨,진짜 이 특집은 하하가 다했네 ㅋㅋㅋㅋㅋ,2021. 1. 25.,긍정
87,블상,항상 정준하가 당하는게 재밌음ㅋ 그 쓰레기편이 레전드인데..,2021. 1. 25.,악플
88,토끼보고가세요,14:40 하하 졸귀다진짜ㅠㅠ 짝짝 얄미우면서 귀여워 죽어버렷..,2021. 1. 25.,긍정
89,안용복,참 준하형이 멤버들한테 인기가 많아 연초 mc민지부터 빵빵 터졌지 역시 무도의 탱커 저렇게 받아주는 사람이 있어야 딜거는 잼이 있지ㅎㅎㅎ,2021. 1. 25.,악플
90,박정현,하하가 멤버들 나갈때 너무 힘들다고 유재석한테 말했다고 했던걸로 기억하는데 그럴만해 노홍철 있을때는 굳이 자기가 판 만드는 역할까지는 안해도 됐었는데 노홍철 나가니까 누군가는 그 역할해야하니 하하가 노력한거 같음 이편 다시보니 하하가 고생 많았을거 같다,2021. 1. 25.,악플
91,토순찌,13:15 ㅋㅋㅋㅋㅋ하하 개무섭정준하가 짠하고 불쌍하긴 처음이다ㅠㅠㅠㅠ,2021. 1. 25.,악플
92,이쪙,"8:02 유재석 다 초면일텐데 성함 다 외운 것도 신기하고, 한분 한분 눈 마주치면서 호명하면서 인사하고... 오우 사람이 참 깔 게 없다 만두 네개 말곤",2021. 1. 25.,악플
93,정현석,14:44 이 샷이 왤케 웃기지ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2021. 1. 25.,악플
94,블루,유느 로우킥 ㅠㅠㅋㅋ하하님도 너무 웃기다ㅋㅋ,2021. 1. 25.,긍정
95,이태호,하하가 자기한테 유리하게 편지 쓰고 정준하가 넣었으면 ㅎㅎㅎ,2021. 1. 25.,악플
96,Hyeong Woo,"저 봉투내용이 ""하하야 너가 쇼미더머니 추천해주고 응원해줘서 너무 고마워 사랑해"" 였고 정준하님이 본방볼때의 표정보고싶다 편지키워드[응원]",2021. 1. 25.,긍정
97,캘시퍼(Calcifer),하하 예능천재다 ㅋㅋㅋ,2021. 1. 25.,악플
98,NAME,8:00 토미 선수 엄청 예의바르시다... 고 짧은 순간에 모자 벗고 악수하시네 ㄷㄷ,2021. 1. 25.,악플
99,방어진돌주먹,ㅋㅋㅋㅋㅋㅋ요즘 무도다시보는게 삶의낙,2021. 1. 25.,악플
100,코코 ෆ,하하 잔머리 ㅋㅋㅋㅋㅋ진짜 웃겨,2021. 1. 25.,긍정
101,솔져76,7:09 유재석님 역사상 제일 잘참은 고통 ㅋㅋㅋ,2021. 1. 25.,악플
102,김소현,존잼인뎈ㅋㅋㅋㅋㅋ편지바꿔치기 꿀잼ㅋㅋㅋㅋ,2021. 1. 25.,악플
103,킹제임스,이게 5년전ㅋㅋㅋㅋ 시간 레알 빠르네,2021. 1. 25.,긍정
104,가자누나,사기꾼 홍철님이 없으니 하하님이 대신 역할을 하셨네ㅠㅠ 지금보니 진짜 다들 방송 살리려고 열심히들 한게 보인다...😢,2021. 1. 25.,악플
105,FRANK COSTANZA,이 때 정준하 불쌍했는데ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그래도 랩 열심히 해서 쇼미 나간거 보면 대단함.,2021. 1. 25.,악플
106,두두키 JW,하하 진짜천재네,2021. 1. 25.,긍정
107,낭만해적단,이거 3편 왜 없지 했는데 안 올라온거였구나 ㅋㅋㅋㅋㅋㅋㅋ 내가 못 찾는줄,2021. 1. 25.,악플
108,현아님,"조깅하는 주나위에,,, 악마날개 달고 나는 하하가 있다......ㅋㅋㅋㅋㅋㅋㅋ",2021. 1. 25.,악플
109,닉네임,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ역시 정준하님은 탱커지,2021. 1. 25.,악플
110,kcy,노홍철 있었으면 개꿀잼일듯,2021. 1. 25.,악플
111,상펭,하하가 노홍철 역할까지 해준 특집,2021. 1. 25.,악플
112,모아,하하 편지 바꾸는걸로 욕하는게 ㄹㅇ 이해안감 당시에 보면서 센스 쩐다고 생각했었는데,2021. 1. 25.,악플
113,Pioneer,예능 통틀어서 정준하만한 탱커가있나싶다 ㄹㅇㅋㅋㅋㅋㅋㅋㅋㅋ,2021. 1. 25.,악플
114,ᄋᄋ,0:12 전설의 야구팀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2021. 1. 25.,악플
115,희온,"룰 위반 한것도 아닌데 욕 먹을게 뭐있나요. 편지 바꿔치기 안된다는 룰도 없었고, 편지를 받으면 보낼 수 있는 편지가 생긴다는 것도 사전에 공지했고.. 자기 우체통에 편지가 와서 답장을 한건데 ..? 어떻게 보면 하하 덕분에 정준하씨가 한 해동안 엄청난 도전을 성공하면서 인기와 주목을 끌었죠",2021. 1. 25.,악플
116,최크리스탈,0:45 난 여기서 무너졌다... 유느님 하하가족 못참지...☺,2021. 1. 25.,악플
117,이하,이때하하가 그녀석이 없으니 나라도 해야지 이러면서 하지않았나 ㅋㅋㅋ,2021. 1. 25.,악플
118,the the,그리운 무한도전,2021. 1. 25.,악플
119,Music life !!!,15:40 역대급 바보엿어 ㅠㅠ웃기면서도 짠하네,2021. 1. 25.,악플
120,익명,하하가 하이라이트를 찍었지 ㅋㅋㅋ,2021. 1. 25.,악플
121,chuchu won,14:46 그림 ㅈㄴ 웃기넼ㅋㅋㅋㅋㅋㅋㅋ,2021. 1. 25.,악플
122,아아,하하 편지 바꿔치기 했던 거 개웃겼는데 방송 끝나고 욕먹어서 어이없던 편 이거 말고도 무한상사에서 하하가 유재석한테 친구없냐고 했다고 또 욕했던데 프로불편러들은 예능 말고 다큐를 보시길,2021. 1. 25.,악플
123,초심,10:01 다 미치겠는 정준하,2021. 1. 25.,악플
124,서지순,♡♡지금 이 한 순간에 드라마가 있다.,2021. 1. 25.,악플
125,츄세,레전드의 레전드지 ㅋㅋㅋ,2021. 1. 25.,악플
126,갤럭시탭,15:07 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2021. 1. 25.,악플
127,MH,뭐든 주는 건 정주나 ㅋㅋㅋㅋㅋ,2021. 1. 25.,긍정
128,오영,최고의 탱커..,2021. 1. 25.,긍정
129,쪼호호,하하 잔머리 너무 좋고 ㅋㅋ  근데 중간중간 카메라 보면서 멘트치는게 확실히 노홍철처럼 맛있게는 못 살리네만약 노홍철이 저 상황이였다면 특유의 돌고래웃음소리와 시청자랑 대화하는 화법으로 얄미움이 배가되서 재밌었을텐데 ㅋㅋㅋ,2021. 1. 25.,악플
130,bycut cut,하하형 하드캐리한 날,2021. 1. 25.,악플
131,lsw0612,9:00 분노의 양아치 ㅋㅋㅋㅋ,2021. 1. 25.,악플
132,토롱이,정준하 바보컨셉 개웃기네ㅋㅋㅋㅋㅋㅋ,2021. 1. 25.,악플
133,박순호,이제 광희의 암벽등반만 남은건가,2021. 1. 25.,악플
134,T ape,하하씨가 센스넘치는건 좋은데 이번 편에서는 딜탱이 아니라 딜만 넣어서 그런듯 정준하는 당하기만 했고,2021. 1. 25.,악플
135,해피머니,체육관에 나오시는 여성분 이제 보니 소사이어티 게임 엠제이킴이네ㅋㅋㅋ민지킴 잘생쁘다,2021. 1. 25.,악플
136,도소자,"준하만 나오면 빨리감기  하게 되네,,,",2021. 1. 25.,부정
137,하고 싶은거 다 하는 채널,진짜 높은 곳 저렇게 무서워 하는데 무도에서 맨날 올라가게 만들엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2021. 1. 25.,악플
138,Abec,자연인 고생해서 넣은 해수씨는 본인이 더 고생을....,2021. 1. 25.,악플
139,IK,0:59 이제보니까 소사이어티게임 나온 MJ였구나 ㄷㄷ,2021. 1. 25.,악플
140,이름을 입력하세요.,0:45 존나 설레네 ㅋㅋㅋㅋㅋㅋ,2021. 1. 25.,악플
141,한지언,MC민지 세상밖으로 나오다,2021. 1. 25.,악플
142,이윤,3편왜없나했네ㅎㅎ,2021. 1. 25.,부정
143,GONDA,토미선생님 요즘 BTS 정국이 복싱 레슨하시는거 보고 혼자 내적반가움 느낌 ㅋㅋㅋㅋ 역시 무도효과 ㅋ ㅋㅋ,2021. 1. 25.,긍정
144,busterz,"편집된 부분이긴 한데ㅋㅋ 정준하가 ""나 스킨스쿠버 배워서 물 들어갈 수 있어!!""라면서 거짓말로 도발만 안 했으면 하하는 저자리 안 갔음ㅋㅋㅋ",2021. 1. 25.,악플
145,IlIlIlIl IlI,와 글고보니 정준하있는곳 제2롯데월드타워 아님?? 와...아직 공사중인거 보니 세월 참 빠르네,2021. 1. 25.,악플
146,이룰루리루,0:59 엠제이 킴이다!!! 본명이 민지일 줄이야ㅋㅋㅋㅋ,2021. 1. 25.,악플
147,엮은이는 아는데요,8:24 ???: 재석이는 위험하니까 하지 말라고??? 야 북극곰은 사람을 찢어!!!!,2021. 1. 25.,부정
148,하하,하하는 그동안 조미료를 맛있게 쳐주는역할에서 판짜주는 홍철형돈과 조미료쳐주는 길이 없어지니까 다책임져야하는 책임감이 넘 안타깝다.....조미료라도 치라고 광희를 영입했지만 포장지 스티커역할만해서 넘 실망스러웠음;;;,2021. 1. 25.,악플
149,Sid Huh,0:58 아니... 엠제이킴 본명이 김민지였구나 ㅋㅋㅋ 이래저래 정준하는 민지라는 이름이랑 인연이 많았네 ㅋㅋㅋ,2021. 1. 25.,악플
150,김창수,뭔가 허전하다 했는데 형돈이가 없구나ㅠㅠ,2021. 1. 25.,부정
151,이이,개너무해ㅜㅠㅋㅋㅋㅋㅋ,2021. 1. 25.,악플
152,JJoon Franz,얘기가 잘 됐는데 이상하넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2021. 1. 25.,악플
153,이형윤,여자분 진짜 이쁘시다 연애인인줄,2021. 1. 25.,긍정
154,신나게까게,이런거 볼때마다 노홍철이 있었으면 어땠을까 생각하면서봄ㅋ,2021. 1. 25.,악플
155,ᄋᄉᄆ,1:36 ㅋㅋㅋㅋㅋㅋㅋㅋ 말투 ㅋㅋㅋㅋ,2021. 1. 25.,악플
156,라면은맛있어,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2021. 1. 25.,악플
157,방구석 덕후 :방duck,mc민지의 초석이 되었던 사건이죠 ㅋㅋㅋㅋ,2021. 1. 25.,악플
158,트니트니튼튼,이 뒤로 하하가 정준하한테 놀이기구 편지 또 넣엇나요???ㅋㅋ,2021. 1. 25.,악플
159,김재현,준하형 ㅜㅜ,2021. 1. 25.,긍정
160,민정,이건 처음보는거였는데 7인이 아니었군..,2021. 1. 25.,악플
161,돈가스,하하가 잘했네,2021. 1. 25.,긍정
162,김형훈,8:23 북극곰은 사람을 찢어!!!!,2021. 1. 25.,악플
163,김유식TV,"노홍철님 정형돈님 있었음ㅠ 노홍철은 2시간 수영해서 물한가운데 놨을것도같고, 정형돈은 한번 꼬아서 함정배치 했을것같아요",2021. 1. 25.,긍정
164,우헤이,여자분 어디서봣다싶더니 소사이어티게임에 출연하신 엠제이킴님이시네요 ㅋㅋㅋㅋ,2021. 1. 25.,악플
165,이정훈,토미씨 뭔가 시미켄 엄청 닮으셨네토미켄...:),2021. 1. 25.,악플
166,한번만봐드리는거에요오!!,0:44 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2021. 1. 25.,악플
167,선우선좌Sunright,그래서 의상한 형제는 언제 끝나는거죠?,2021. 1. 25.,악플
168,JJoon Franz,노홍철이었으면 욕 안 먹었음. 하하는 약간 너무 깐죽대는 느낌이라 좀 그랬음..,2021. 1. 25.,악플
169,김새디,ㅋㅋ 진짜 찐으로 야마돌겠네,2021. 1. 25.,악플
170,김윤겸,정준하가 쇼미나간덕애 길도보고그랬지,2021. 1. 25.,악플
171,amurita y,0:45 ㅋㅋㅋㅋㅋㅋ 개 뜬금없어 ㅋㅋㅋㅋㅋㅋㅋ,2021. 1. 25.,악플
172,Js y,파이터 여자분 진짜 미인이시네,2021. 1. 25.,긍정
173,카카,무도 멤버들 진짜 고소공포증 심하긴한가보다.. ..번지점프때도 그러더니...욕하는건 아니지만....그냥 그렇다고요.,2021. 1. 25.,악플
174,아아웅,해수 우체통을 향해 롯데타워 간다,2021. 1. 25.,악플
175,Iron man,3:00 bgm뭔지 아시는분???,2021. 1. 25.,부정
176,Seulky Krystal Kang,다음편 못찾겟어요 ㅠㅠ 복수하는거,2021. 1. 25.,악플
177,양푼,격투기장에 민지님 소사이어티 게임 엠제이 님이네~!,2021. 1. 25.,악플
178,재호야꽃길만걸어,하하진짜 양아치네 ㅋㅋㅋㅋ;;;;;ㅁㅊ....그녀석이생각나네 ㅋㅋㅋㅋㅋ,2021. 1. 25.,악플
179,나이키,무한상사 위기의 회사원편 못보나..,2021. 1. 25.,악플
180,마산토끼,3:00 bgm 아시는 분...14:00 두......,2021. 1. 25.,긍정
181,호롤롤롤로롤로,01:00 엠제이 킴 하위~~ 민지 킴 이었군!,2021. 1. 25.,악플
182,Iron man,3:00 bgm아시는분 ㅜ,2021. 1. 25.,악플
