,sentence,label
99,내가 건강할 때는 일도 하고 사람들도 자주 만나며 즐겁게 지냈는데 건강을 잃고 많이 달라졌어.,5
100,건강이 갈수록 나빠지네. 이러다 금방 죽을까봐 두려워.,3
101,내 와이프는 왜 이렇게 사치가 심한지 모르겠어.,5
102,오늘 학교에서 맞았는데 다른 애들이 다 모른 척 했어. 걔들이 더 나빠.,2
103,건강은 미리 챙겨야 하는 것 같아.,1
104,이십 대 때와 몸이 다르다는 것을 느낄 때마다 중년이라는 게 실감나서 서글퍼져.,1
105,하여간 방송국 새끼들 나도 욕했었는데 미안하네...,6
106,심각한 고민을 친구에게 말했는데 저번에 얘기하니 기억하질 못하더군. 내 고민이 하찮게 느껴지나 허탈해.,3
107,직장동료가 내말을 계속 무시해서 오늘 나도 무시해봤어. 매번 너무 화가 났어.,2
108,친하게 지내던 학교 동기들에게 따돌림을 당하는 느낌이야.,4
109,얼마 전에 피 검사를 했는데 의사가 식단 관리를 해야 한대서 걱정이야.,3
110,부모님이 힘드실까봐 내가 저녁에 설거지를 했어.,4
111,승진하니까 모든 게 잘 풀리는 느낌이야!,0
112,결혼을 신분상승의 기회로 삼는 친구를 욕했어.,2
113,호주에 한국 창녀 많아??,6
114,당황해서 거짓말을 했는데 친구가 갑자기 선생님께 불려가다니 너무 미안해.,5
115,극혐이노 ㅅㅂ ㅋㅋㅋㅋ,6
116,친구들이 내 실물과 사진이 다르다며 비웃어.,3
117,충청도 바보들이 자기 밥그릇 뺏긴거임,6
118,나이가 들어 아파 병원에 입원해서 고립된 생활을 하게 될까 봐서 걱정이야.,3
119,직장 동료가 한 달 동안 내 차를 얻어 타면서 고맙다는 인사 한마디가 없어서 조금 화가 나.,2
120,생리불순으로 병원에 갔더니 폐경이래. 충격받았어. ,4
121,충격이야. 아내가 나 몰래 다른 남자와 문자를 계속 주고받고 있었어.,4
122,오늘부터는 내가 설거지를 담당하기로 했어.,0
123,친구가 놀러 가자고 해서 방과 후 수업을 빠졌어 혼날 것 같아.,3
124,저 남자새끼 관상이 너무 드러워서 안보는 프로,6
125,아내 몰래 비상금을 소파 안에 넣다가 딸한테 들켜버려서 당황스러워.,5
126,이제 도장만 찍으면 내 생애 첫 계약이 이루어지는데 너무 설레어.,0
127,학교에서 내 친구가 반장한테 두들겨 맞았어.,5
128,손가락 관절 무릎 관절 상태가 너무 안 좋아서 되도록 쓰지 말라고 의사가 그러네. 이게 다 집안일 살림하느라 이렇게 된 거지. 내 몸과 건강 갈아 넣어서 가족들 건사하고 집안 이끌어오느라고 말이야.,4
129,평소에 나를 괴롭히던 무리가 갑자기 사과하면서 이제 친하게 지내자고 했어.,0
130,친구녀석이랑 싸웠어 우울해.,1
131,그 새끼 호모 게이임,6
132,어제 같은 반 친구한테 맞았는데 선생님께서 그 사실을 아시면서 아무 말이 없어 슬퍼.,4
133,의사가 이제 다 나았다고 병원 안 나와도 된대.,0
134,다리에 깁스해서 다니고 있었던 모임을 못 나가고 있어. 고립된 느낌이 들어.,4
135,아내가 주식은 절대 하지 말라고 했는데 몰래 했다가 망했어.,1
136,그 아이와 사귀냐고 주변에서 놀렸는데 볼이 빨개져서 부끄러웠어.,5
137,오빠가 시도 때도 없이 트집 잡고 못 살게 굴어!,2
138,건강관리를 하는데 계속 제자리를 맴도는 것 같아. ,3
139,아내가 카드를 과하게 사용해서 말리고 싶은데 우울증이라서 어떻게 말려야 하나 걱정이야.,3
140,친구들이 나 빼고 다 취업을 해서 보기가 너무 부끄러워.,5
141,인공 달팽이관 수술을 하고 나서 아내가 하는 말을 모두 알아들을 수 있어 너무 기뻐.,0
142,오늘 회사에서 건강검진 결과에 관해 얘기했어. 왠지 질투가 나고 분한 느낌이야.,4
143,오늘 와이프 생일인데 깜박했어! 난 죽었다!,3
144,건강을 위해 수영을 시작하기로 했어!,2
145,여자 친구가 임신을 해서 아버님에게 결혼 승낙을 받으러 가야 하는데 너무 긴장 돼.,3
146,미안하다게이야 심적으로는 내가 너보다 수십배는 힘들다 진심이다게이야,6
147,우리 회사는 복지가 안 좋아서 유급휴가 제도도 없어.,2
148,태풍이 심해서 추수가 잘 될지 회의적이야.,3
149,가족 중에 한 명이 아프니까 죽음이란 게 참 가까이 있구나 싶어. 이 세상 아등바등 살아봤자 죽으면 끝이야.,2
150,같은 성별이라는 이유로 내가 좋아하는 직장 동료에게 거절당했어. 너무 슬프고 힘들어.,4
151,탄력있고 빵빵한 여승무원의 엉덩이가 나의 우람한 어깨 근육에 비벼질 때의 그 느낌여승무원도 그걸 즐기는지 가끔 지나가면서 문지르며 가더라,6
152,편하다고 배달음식이나 즉석식품을 먹거나 외식하는 아들 내외를 보면 한심해 보여.,5
153,청력이 예전같지 않은 것 같아서 걱정이야.,1
154,일베에서 틀딱거리는 새끼들 = 전라도 대깨문 평균나이 50대이상지들이 노인인 줄 모르고 애들 노는데서 틀틀 거리는 거 존나 웃김ㅋㅋ,6
155,부모님이 맞벌이라 집에서 혼자 너무 외로워.,3
156,친구들과 단체 사진을 찍었는데 내가 제일 뚱뚱하게 나왔어.,5
157,직장 동료들에게 식사를 대접하지 못하는 것 때문에 속상해.,4
158,내 주위 친구들이 나보다는 내 돈을 더 좋아하는 것 같아 슬퍼.,1
159,입만 벌리면 구라.,6
160,운동을 아무리 열심히 해도 아무 소용이 없네.,1
161,나를 따돌렸던 친구에게 너무 화가 나서 그 친구를 한대 쳤어.,2
162,내가 비만이라 에어로빅을 배워볼까 하는데 옷이 너무 부담스럽네.,5
163,너무 아파서 쉬고 왔는데 영어 선생님이 내가 공부를 안 해왔다고 다그쳐 화가 나.,2
164, 그런적없다 구라쳐서 다른게이들 속이기 시도 하시겠재 병신,6
165,공부가 적성에 맞는 줄 알았는데 하고 싶은 다른 일이 생겨서 혼란스러워.,5
166,혹여나 회사에서 해고당할까 봐 불안해.,3
167,동생한테 용돈을 주면서 심부름을 시켰는데 엄마한테 하소연 했다더라.,4
168,아빠가 내게 주신 용돈을 다시 가져가셨는데 안 돌려주시니 황당해.,5
169,우울증으로 무기력해져 매일 힘들게 지내고 있어. 너무 우울하고 외롭다.,5
170,참 부끄럽고 속상해. 요즘 병원비가 너무 많이 나가서 손자에게 용돈도 제대로 못 챙겨줘.,5
171,요즘 엄마한테 자꾸 심하게 말이 나와서 마음에 걸려. 밤마다 생각나서 후회해.,1
172,발랐으면 인성질은 기본이지..    과거 비등했던 적이 무너져서  앙탈 못부리고 마음대로 할수 있게 되었는데 ㅎㅎㅎㅎ,6
173,코로나는 고령층에게 특히나 절망적인 거 같아.,2
174,"이게 팩트지. 터널에선 앞앞차가 안보이고 앞차만 보고 가는데, 앞차가 사고직전에 틀어버리면 어떻게 대비하나. 블박차 욕하는게 대깨문 스러운 논리 ㅉㅉ 물론 안전거리 유지 못한건 잘못이지만 그전에 앞차가 갑자기 브레이크 밟아서 거리가 좁아든건 있는듯.",6
175,요즘 우리 반 분위기가 너무 험악해서 애들 사이에서도 말을 잘 안 해.,1
176,나이도 많은데 좋은 일자리에 취업이 될까 걱정이야.,3
177,운동 때문에 회식을 못 가서 화가 나.,2
178,첫짤 저렇게 생긴 일게이들이랑 여태 히히덕 거리고 있었다니ㅜ자괴감 드노...,6
179,아기가 건강하게 태어나 주었어.,0
180,내가 갑자기 사라져도 아무도 신경 안 쓸 거 같아서 정말 외로워.,1
181,여러 여자를 동시에 사귀면서 마치 자랑스럽게 말하는 형이 혐오스러워.,5
182,세상에 내 적성에 맞는 일이 있을까 싶어.,1
183,모르면 배우고가라 병신아이슬람 역사 상식선에서 다 아는거라고? ㅈㄹ마 병신아그럼 니가 팔레비왕조에 대한 의견을 설파해보던가 ㅅㄲ야,6
184,당연히 평생 함께할 것이라고 믿었던 우리 사이는 오늘로 끝이 나서 힘들어.,4
185,그건 기술자가 아니라 기사다 개병신아 제발 좀 ㅋㅋ,6
186,내일이 면접인데 탈락하면 어쩌지 싶어서 걱정이야.,3
187,며칠 전에 매우 기분 좋은 일이 있었어.,0
188,아까 점심시간에 몰래 화장실에서 숨어서 밥 먹었어 너무 슬퍼.,1
189,내가 말 한마디 잘못하면 친구들이 떠날까봐 항상 조심하게 돼.,3
190,이제 퇴원하게 되어서 너무 기뻐.,0
191,개노답 대구,6
192,내가 한 폭력 때문에 힘들어하는 친구를 보고 자퇴를 했어.,5
193,나는 인스타그램같은 거 하기 싫은데 거기에 심취한 친구가 나한테도 하라고 강요해.,2
194,국내 최고 의사에게 치료받을 수 있게 되었어.,0
195,제발 망해라,6
196,갑자기 몸이 안 좋아져서 다니던 회사도 그만두고 시골에 가서 요양하고 있어.,5
197,내 성적을 보고 웃음을 터뜨린 친구에게 정색을 하고 화를 냈어.,2
198,아내와 나는 임신 계획을 세우지 않고 있어. 전에 한 번 아이를 잃어서 상처가 되었거든.,4
199,매일 매일이 오늘같이 친구와 싸우는 일 없이 잘 지내는 날들이었으면 좋겠어.,0
200,가장 친한 친구가 따돌림을 당했어. 나도 똑같이 따돌림 당할 거 같아서 너무 초조해.,3
201,얼마전부터 가슴통증이 있어서 병원에 다녀왔어.,0
202,영양제에 돈을 엄청 쏟아부었는데 소용 없는 것 같아. 억울해.,4
203,내가 이렇게 지금 힘든지 걔네들은 모르겠지?,1
204,평소 치질로 고생하고 있는데 치질 전문 병원 앞에서 옆집 사람을 마주쳐서 부끄러웠어.,5
205,우리 집사람하고는 성격 차이로 자주 다퉈.,3
206,남편이 이혼을 하자고 해서 했는데 이혼하자마자 자살을 했어. 너무 충격적이야.,4
207,요즘 옛날처럼 부인이 날 사랑하지 않는 것 같아. 초조하네.,3
208,이 등과 점수 차이가 많이 나는 걸 보니 안심해도 될 것 같아.,0
209,친구가 큰 병에 걸렸어.,2
210,내 친구들 중에 내가 제일 실패한 것 같아서 열등감을 느껴.,5
211,어깨가 움직이질 않아서 수술을 받기로 했어.,4
212,부장님은 역시 나를 알아주시는 거 같아. 내 사업 계획을 들으시고 엄청나다고 말씀해주셨어.,0
213,내 친구가 어떤 애한테 맞아서 기분이 상당히 암울하네.,1
214,노년이 다가오니 죽음이 무서워.,4
215,친구들을 괴롭히는 애들을 보면 그 아이에게 왜 그렇게 사는지 물어보고 싶어서 답답해.,2
216,같이 사는 룸메이트와 다퉈서 속상해. 내가 심한 말을 해버렸거든.,1
217,이래서 개독 개독 하는거군요,6
218,건강에 대해 안달하게 돼.,2
219,옆 반에 비해 우리 반은 자습하기 괜찮은 것 같아.,0
220,엄마가 이렇게 엉망인 사람인 줄 알았다면 아빠랑 같이 살걸 그랬어.,1
221,검사를 해보니 내 아들이 내 자식이 아니래.,3
222,입사 합격 문자가 사실은 시스템 오류로 잘못 전송된 것이었어. 너무 비통해.,1
223,남편 성격은 염세적인 거 같아.,1
224,나는 여자친구와 결혼 하고 싶어서 티를 내는데 여자친구는 아무래도 나랑 결혼할 마음이 없어 보여.,3
225,선생님이 편애하는 애들만 편의를 봐주는 것 같아서 기분 나빠.,2
226,아이들이 자꾸 고집을 피워서 내 마음이 방어적으로 돼. 적극적 대처를 하고 싶어.,2
227,내 아내는 어떤 상황에서도 바람을 피우지 않을 거라고 확신할 수 있어.,0
228,노안이 시작돼서 우울해.,4
229,회사가 다음주에 문 닫게 되었다는 소식을 들었는데 너무 당혹스러워.,3
230,나 때문에 고생한 우리 부모님을 호강시켜 드릴 거야.,4
231,아내에게 정말 실망했어.,2
232,학교에서 따돌림 당했던 것으로부터 해방되어서 마음이 편해.,0
233,내 친구가 내 꿈을 비난해서 너무 상처받았어.,4
234,건강을 회복하면 임신될 줄 알았는데 이젠 안 된다고 그러네.,2
235,음 뭐라는거야  니 댓글 초반부분 읽다가 지진아가 쓴거같아서 그냥 안읽고 블라함 대충 의미없는 욕지거리 싸질러놓은거 같은데 니 면상 알만함,6
236,거리에서 아들과 아들 친구들이랑 마주쳤는데 아들이 나를 모른 체하고 지나가서 내가 창피한가? 하는 생각이 드네.,1
237,언니한테 고지혈증에 좋은 음식을 해줬더니 정말 좋아했어. 언니가 좋아하는 것을 보니 기쁘더라고.,0
238,대출을 받아 집을 이사했는데 남편과 아무리 열심히 일해도 힘들고 버거워.,1
239,이미 그녀도 나를 좋아해서 편하게 고백할 수 있었어.,0
240,은퇴 후 친구들과 같이 등산을 하고 있어.,0
241,건강에 열등감이 들어.,5
242,이번에 내 건의로 노인정에 안마의자를 들여놓게 되어 기뻐.,0
243,결혼을 준비 중인데 전세자금 대출을 못 받을 수 있을 것 같아 불안해.,3
244,평생 아이를 키운다고 몸이 아파도 쉬지 못하고 일했었어. 근데 내 건강이 악화하였단 소식을 듣고서 난 평생 희생만 하고 산 것 같아.,4
245,일을 마치고 집에 들어오면 내 자신이 초라해 보인다는 생각이 들 때가 종종 있어.,2
246,@노가다쟁이 />,6
247,친구들이 내가 자기들보다 공부를 못한다는 이유로 따돌리고 있었어. 너무 충격적이야.,5
248,젊었을 때부터 건강을 챙기지 못한 게 너무 후회돼. 나이가 드니까 여기저기 아픈 곳이 많아져서 말이야.,1
249,오늘 최종 면접 합격 발표날이야! 너무 떨려.,3
250,오늘 친구에게 맞았어.,5
251, 게이애 침착하고,6
252,나는 그 사람과 결혼까지 생각했었는데 결국 오늘 헤어지고 말았어. 너무 우울하고 힘들어.,1
253,휴가를 맞아 친구들과 바다로 낚시를 하러 갔다가 폭풍우를 만나서 나만 살아남아서 죄책감이 들고 슬퍼.,1
254,나랑 제일 친했던 친구가 작년에 세상을 떠나서 너무 슬퍼.,2
255,젊었을 때와 지금과는 감정조절 능력의 차이가 있다네.,3
256,위암 때문에 입원한 지 좀 되었는데 같이 치료받던 사람들이 하나둘씩 안 보여 불안하고 걱정돼.,3
257,건강에 취약한 느낌이야.,3
258,저금통에 있는 돈을 꺼내서 몰래 나가는데 엄마가 나를 부르셨어. 들킨 건가?,5
259,학교 친구들이 내 성적을 가지고 툭툭 던지는 말들 때문에 화가 나.,2
260,거울을 볼 때마다 주름이 하나씩 늘어났어. 이런 상황에 환멸이 나.,1
261,갑자기 내가 먹던 약들을 어디에 뒀는지 기억이 안 나서 당황했어.,5
262,내가 구직으로 고민 중인데 내 친구가 자기네 회사에 구인광고를 알려줬어.,0
263,나를 따돌리는 애들이 우리 반에 못 오게 선생님이 막아주시겠대. 마음이 놓여.,0
264,어제도 아들이 나에게 돈을 빌려갔어. 아들은 취업할 생각이 없는 것 같아.,1
265,우리 아들이 내 신기능부전 때문에 신장 이식을 해준다고 하는데 아들이 혹시나 잘못 될까 걱정돼.,3
266,내가 간암 판정을 받았어. 이 사실을 두 딸에게 말하고 싶지 않아.,4
267,다른 애들이 싸우는 거에 연루돼서 잘못 없는 나까지 혼났네.,1
268,자녀들이 암에 걸린 나를 서로 돌보지 않겠다고 싸우고 있어. 환멸이 나.,1
269,최근에 부모님이 싸우셔서 집안 분위기가 너무 좋지 않아.,3
270,내가 붙임성이 좋아서 처음만난 사람하고도 잘 지내지.,0
271,나도 모르게 사무실에서 방귀를 뀌었는데 소리가 다 들려서 창피해.,5
272,며칠 전에 갑자기 가슴을 쥐어짜는듯한 통증이 있어서 갑자기 겁이 났어. 이러다 큰 병에 걸리는건 아닌가 하고 말이야.,3
273,아내랑 싸웠어. 기분이 안 좋네.,5
274,요즘 젊은 친구들은 왜 웅얼거리는지 모르겠어. 귀가 잘 안 들리는데 답답하고 화가 나.,2
275,군대 후임이 자기 할 일만 끝나면 편하게 누워서 쉬고 있네.,2
276,오늘 친구들이랑 모처럼 진솔하게 얘기하고 화해를 통해 관계를 회복할 수 있어서 좋았어.,0
277,나이가 들면 들수록 건강이 제일 중요한 것 같애.,4
278,과장님은 까다로우셔서 내가 아무리 열심히 해도 다 마음에 안 드시나 봐.,2
279,다른 애들에 비해 체격이 좋다고 친구를 괴롭히는 거 보면 정말 화가나.,2
280,공원 산책하는 것을 즐겼는데 무릎 관절이 안 좋아 졌어.,1
281,내 건강이 다시 나빠져서 기력을 잃게 되면 남편은 다른 건강한 여자를 만날 것 같아서 안달이 나.,2
282,아내가 병원을 무서워 해서 아플 때마다 병원 가기를 미뤄.,3
283,도대체 코로나는 언제 종식되는 거야?,2
284,니 애미도 장애인임?,6
285,아주 지랄싼다 딸 사춘기오면 애미애비 보다 친구랑만 놀음 ㅋㅋ,6
286,아내가 나랑 싸우던 중에 물건을 부쉈는데 그 사람의 폭력성에 환멸이 나.,1
287,선물로 누나에게 머리띠를 선물했는데 쓰레기통에서 봤어. 내가 버려진 것 같은 기분이야.,1
288,난 지금 학교에서 따돌림을 당하고 있어. 친구가 나한테 실망하고 떠나갈까 봐 무서워.,3
289,탈모 있는 김 씨 할머니보다는 내 외모가 더 낫다고 생각해.,0
290,비만이라고 걱정만 하지 말고 걷기만 해도 체중이 빠지니 기분이 좋아,0
291,아내와 아이들의 뒷받침을 하기 위해 나는 타지에 혼자가 되었어. 너무 외로워.,4
292,애미뒤진 흑재앙짱깨콜라보집단ㅋㅋㅋ 지들 빨개벗고 목화따던 면역력이랑 어디 같은줄알아 안경을 뿌셔벌라,6
293,딸이 또 공무원 시험에 떨어졌대. 애쓰는 걸 지켜봐서 그런지 내 마음도 괴롭네.,4
294,난 왜 이렇게 아픈 데가 많을까. 여기저기 돈만 축내는 것 같아서 내가 너무 한심해. 남편과 가족들에게 정말 미안하고.,5
295,예전에 큰 거짓말을 한 뒤로 엄마 아빠는 내 말을 다 믿지 않아. 계속 그럴까 봐 걱정돼.,3
296,집에서 재수를 허락해주지 않을 거라 너무 걱정돼.,2
297,내 주변에 내편은 아무도 없는 것 같아.,1
298,나 자신에게 너무 실망했어.,1
299,집에서 내 말에 대답도 잘 안 하던 애교 없는 딸이 오늘 학예회에서 내 볼에 뽀뽀를 했어.,5
300,콜레스테롤 수치가 엄청 높게 나와서 위험하다고 의사가 그러네.,5
301,불가능함 ㅋㅋㅋㅋ인건비싸니까 외국제조업체들이 잠깐 들리는거지지들잘나간다고 착각하는거고관광? ㅋㅋㅋㅋㅋㅋ 그걸로는 한계 전세계 정액받이들러리밖에안됨한국도좆도없는데 그러니 박정희가 뛰어난거다좆도아닌국가에서 산업국가로 뛰어넘은게그게 50년 당시 더 잘살던 베트남 필핀 태국 과의 클라스의차이지,6
302,부모님과는 말이 안 통해서 화가 나.,2
303,실내 체육센터에서 내 나이를 말했더니 다들 놀라길래 신이 났어.,0
304,건강검진을 했는데 모든 치수가 정상으로 나와서 만족스러워.,0
305,항상 가족들 먼저 챙기느라 나한테 신경 쓰지 못했어.,4
306,나는 아내가 정말 마음에 안 들어.,5
307,존예네,6
308,친구들과 만나고 난 뒤에 집에 오면 나도 모를 공허함이 몰려와.,4
